Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"The Bridge Social
4.1",Data Scientist,Chile,chile,"Descripción:
Somos The Bridge
The Bridge es la red de profesionales digitales más grande de LATAM con más de 230 mil rockstars. Startups, scale-ups, grandes empresas y consultorías de todo el mundo trabajan con nosotros para conseguir los proyectos más desafiantes e impactantes. ¿Estás listo para participar en el desafío?

La Posición
Estamos buscando al próximo cambio de juego que se una al equipo como Data Scientist. Para considerar este rol debes estar ubicado en Santiago - Chile .",,,51 to 200 Employees,Internet & Web Services,Information Technology,$1 to $5 million (USD),4.3,85 %,N/A,,4.1,3.7,4.0,4.1,4.3,,,61,https://www.glassdoor.com/Reviews/The-Bridge-Social-Reviews-E2842905.htm,
Redbus Urbano,Data Scientist,Chile,chile,"En Redbus Urbano, seguimos creciendo.
Estamos buscando a un/a nuevo/a “Data Scientist”, para incorporarse a nuestra Gerencia de desarrollo comercial.

¿Qué esperamos del puesto?
Tu misión será realizar análisis de movilidad para los distintos procesos de licitación y generar recomendaciones para la toma de decisión buscando responder a necesidades concretas para los modelos de negocios. Prestar apoyo para el mejoramiento de los contratos vigentes

Tus funciones principales serán;
Dimensionar volumen de negocio y cifras relevantes para procesos de licitación B2B y B2G.
Elaborar estimación de demanda y productividad.

Requisitos;

Otros;

¿Por qué sumarme al equipo de Redbus Urbano?
Somos parte de la Red Metropolitana de Movilidad y, como tal, trabajamos para conectar a nuestra ciudad, ofreciendo soluciones seguras de transporte y trasladando a más de 350.000 personas cada día.
REQUISITOS Estudios mínimos: Universitaria Carreras: Ingeniería en Geografía , Ingeniería en Transporte Requisitos Minimos: - Ingeniero Civil en Geografía o Ingeniero Civil en Transportes.",,,,,,,,,,,,,,,,,,61,,
"Association of Universities for Research in Astronomy
3.5","Scientific Staff Positions, Astronomer/Scientist Tracks",La Serena,chile,"NSF’s NOIRLab (National Optical Infrared Astronomy Research Laboratory) invites applications for one or more scientific staff positions based at Gemini Observatory in La Serena, Chile. The successful candidates will conduct independent astronomical research and support the scientific operations of Gemini South. The positions could be on either the Scientist (emphasis on service roles with 20% time for independent research) or Astronomer (up to 50% time for independent research) tracks. Applications from candidates at all career stages will be considered.
NOIRLab is the preeminent US national center for ground-based, nighttime optical and infrared astronomy. The mission of NOIRLab is to enable breakthrough discoveries in astrophysics by developing and operating state-of-the-art ground-based observatories and providing data products and services for a diverse and inclusive community. NOIRLab is a Federally Funded Research and Development Center that operates as a matrix organization with approximately 400 employees providing services across a range of programs: Gemini Observatory, Vera C. Rubin Observatory, Mid-Scale Observatory (Cerro Tololo Inter-American Observatory and Kitt Peak National Observatory), and the Community Science and Data Center.",,,501 to 1000 Employees,Colleges & Universities,Education,$25 to $100 million (USD),3.5,58 %,68 %,4.6,3.0,4.1,3.2,2.7,3.2,,,61,https://www.glassdoor.com/Reviews/Association-of-Universities-for-Research-in-Astronomy-Reviews-E32763.htm,https://www.glassdoor.com/Benefits/Association-of-Universities-for-Research-in-Astronomy-Benefits-E32763.htm
"Association of Universities for Research in Astronomy
3.5",Adaptive Optics Scientist,La Serena,chile,"NSF’s NOIRLab has an immediate opening for an Adaptive Optics (AO) Scientist for the International Gemini Observatory. The AO Scientist will participate in the development and operation of the AO facilities at the Gemini South facility in La Serena, Chile. The successful candidate is expected to use approximately 20% of their time to carry out original and innovative research. We are committed to diversity and inclusion at Gemini Observatory. Our managing organization, AURA, as a leader in the astronomical community, develops and supports programs that advance our organizational commitment to diversity, broaden participation, and encourage the advancement of diversity throughout the astronomical scientific workforce. Learn more at http://www.aura-astronomy.org/diversity.asp
The NSF's NOIRLab is an AURA-managed center headquartered in Tucson, Arizona that integrates the operations of the Gemini Observatory, the Vera C. Rubin Observatory, Mid-Scale Observatories (MSO), and Community Science and Data Center (CSDC) as a matrix organization with facilities in Arizona, Chile and Hawai`i.",,,501 to 1000 Employees,Colleges & Universities,Education,$25 to $100 million (USD),3.5,58 %,68 %,4.6,3.0,4.1,3.2,2.7,3.2,,,61,https://www.glassdoor.com/Reviews/Association-of-Universities-for-Research-in-Astronomy-Reviews-E32763.htm,https://www.glassdoor.com/Benefits/Association-of-Universities-for-Research-in-Astronomy-Benefits-E32763.htm
,Ingeniero en Data Scientist,Chile,chile,"Publicada hace 31 días por
Empresa Confidencial
Jornada Completa
Analista
Región Metropolitana de Santiago
Las Condes
Destacada Empresa Líder en Gestión y Optimización de Recursos del Medio Ambiente, desea incorporar a su equipo un Ing de Data Scientist quien tendrá proponer, desarrollar,diseñar e implementar soluciones tecnológicas a la captura de transmision, limpieza almacenamiento y procesos de base de datos mediante modelos descriptivos, predictivos y prescriptivos.

Queremos contar contigo para:
Desarrollara captura de transmisión, limpieza almacenamiento y procesos de base de datos scripts para data sets file based, conexiones a WSs y otros.
Desarrollara métodos estadísticos orientados a la análisis , visualización y reporting y alertas
Colabora con con la automatización y generación de reportes de Kpi?
Manejara plataformas con PBI, Datastudio, data science, Python, entre otros.
Participar en nuevos proyectos asociados a transformación digital.
Presentación de formaciones y elaboración de material de soporte lenguajes API, WSs, JSON",,,,,,,,,,,,,,,,,,61,,
"Bnamericas Spa
3.1",Data Scientist,Chile,chile,"Bnamericas busca incorporar un profesional Científico de Datos para su equipo de Producto y Estrategia. El trabajo es 100% remoto y se inicia en Octubre 2022.

Principales desafíos y responsabilidades del rol

Participar en el desarrollo de proyectos en los que tendrá que:
Crear nuevos productos y funcionalidades, basados en datos y visualización de datos.
Optimizar campañas de marketing y esfuerzos comerciales.
Iniciativas de Business Intelligence
Iniciativas para captar y mejorar contenidos.
Requisitos:

Interesados, enviar CV con expectativas de salario a",,,Unknown,Information Technology,Unknown / Non-Applicable,,3.1,62 %,N/A,,2.7,2.9,3.3,2.7,3.5,,,61,https://www.glassdoor.com/Reviews/Business-News-Americas-Reviews-E489304.htm,
"Bain & Company
4.5","Senior Manager, Data Science",Las Condes,chile,"We offer an 80% working model for our South America Advanced Analytics Group team members with Fridays being a non-working day. Please submit CVs in English to be considered for this role
Company Overview

Bain & Company is one of the world's leading global business consulting firms, serving clients across six continents. It was founded in 1973 on the principle that consultants must measure their success in terms of their clients' financial results. Bain's clients have outperformed the stock market 4 to 1. With offices in all major cities, Bain has worked with over 4,150 major multinational and other corporations from every economic sector, in every region of the world.

A career at Bain & Company will provide the opportunity to learn in a collaborative teaming environment, drive impact to support our 'Results' mission statement. The firm has a passionate and rich culture that offers an unparalleled business experience that can carry throughout a career. We hire dynamic individuals that are dedicated to achieving both personal and professional goals. To learn more about the firm, please visit www.bain.com.

Position Summary

This is an opportunity to be a part of Bain’s expanding data science capability area. This position will be part of the Advanced Analytics Group (Bain’s team of data science, engineering, decision science and primary research experts). Responsibilities will include working closely with the Advanced Analytics Group (AAG) and Bain’s consulting teams to provide high quality results for our clients, some of the most successful and pioneering businesses in the world. This will include helping formulate and driving our evolving strategy on how to best support our clients on large data/heavily analytic initiatives.The person in this role will need to:

Responsibilities & Duties

Qualifications",,,5001 to 10000 Employees,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.5,93 %,96 %,4.8,4.6,4.4,4.6,4.3,3.4,,,61,https://www.glassdoor.com/Reviews/Bain-and-Company-Reviews-E3752.htm,https://www.glassdoor.com/Benefits/Bain-and-Company-Benefits-E3752.htm
"ENERGY FITNESS CLUBS S.P.A.
3.8",Data Scientist,Chile,chile,"Realizar la recopilación y procesamiento de datos a gran escala; Diseñar y desarrollar aplicaciones de datos utilizando herramientas y marcos seleccionados; Desarrollar consultas con bases de datos con SQL o PL/SQL Desarrollar modelos estadísticos, por ejemplo, con Python o R. Realizar análisis del entorno y diseñar sistemas de reporting para la visualización de los datos (sobre todo en business intelligence); Realizar informes de análisis de datos ad hoc y periódicos; Realizar el procesamiento de los datos no estructurados en un formato adecuado para su análisis, generación de KPI/reportes o extracción de información; Realizar la atención y solución de requerimientos e incidencias producidas por soluciones de Analíticas REQUISITOS Estudios mínimos: Universitaria Carreras: Ingeniería Civil Industrial , Ingeniería Industrial Requisitos Minimos: -Ingeniero Civil
Conocimiento en Business Objects, SQL, sistemas XLM
2 años de Experiencia CONTRATO Tipo de contrato: Jornada Completa Duracion: Jornada Laboral: Jornada Completa",,,201 to 500 Employees,Personal Consumer Services,Unknown / Non-Applicable,,3.8,100 %,N/A,,3.8,3.4,3.4,3.4,3.0,,,61,https://www.glassdoor.com/Reviews/Energy-Fitness-Clubs-Reviews-E620508.htm,
"Entel
4.2",Especialista Senior Data Scientist,Las Condes,chile,"Descripción empresa:
Sabemos que quieres cambiar el mundo y transformar con responsabilidad nuestra sociedad. Por eso, en Entel podrás encontrar un espacio de desarrollo, diverso e inclusivo, donde tu propia identidad y talento es bienvenido.

Funciones del cargo:
Somos una empresa en estado de innovación permanente, operadora líder de telecomunicaciones y tecnología en Chile, con una creciente operación en Perú.

Nos encontramos en la búsqueda de un Especialista Data Scientist, quien tendra que generar insights independientemente, basados en analítica moderna e innovadora y métodos estadísticos de data Science, predecir y comunicar recomendaciones relevantes, que permitan maximizar eficiencia en la gestión y facilite la toma de decisiones. Mejorar proactivamente los métodos analíticos del área, estando atento a los desarrollos de la ciencia y las nuevas tecnologías.

Algunas de tus funciones seran...

¡Te esperamos!


Ing. matemático, Ing. informático, Ing. Industrial, Economista,
2 años de experiencia en áreas de big data
ingles intermedio



El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.


1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",,,1001 to 5000 Employees,Telecommunications,$1 to $5 billion (USD),,4.1,90 %,N/A,,3.9,3.9,4.3,3.8,4.0,,,61,https://www.glassdoor.com/Reviews/Entel-Reviews-E380614.htm,
"Uber
3.8",Engineering Manager II - Chile,Chile,chile,"About the Role
As an Engineering Manager at Uber, you will be leading a group of engineers working with product managers, data scientists and other engineering teams to build identity platform solutions globally which are used by all Uber users. We are Uber’s first Tech Center in LATAM and part of the global Engineering team!
The Vehicles Org's vision is to empower suppliers with an innovative platform that enables the industry’s leading marketplace for suppliers and earners while creating new opportunities for Uber.
We own the end-to-end enterprise ecosystem which enables all the earners (drivers/couriers) on the Uber platform who need access to an asset (vehicles, bikes, scooters, etc) & you will own driving the overall mission of this ecosystem.
This is a unique opportunity for an experienced engineer who has a healthy sense of curiosity and acts with a responsibility to join Uber, work with hardworking people across the board and help improve our next-generation search and mapping systems, scaling them to the next level.",,,10000+ Employees,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,79 %,81 %,3.4,3.6,3.7,3.8,3.5,3.9,,,61,https://www.glassdoor.com/Reviews/Uber-Reviews-E575263.htm,https://www.glassdoor.com/Benefits/Uber-Benefits-E575263.htm
"ZeroFOX
4.0",Quality Assurance Engineer - Chile,Chile,chile,"BIG NEWS!
ZeroFox is officially a public company, and we’re on a mission to make the internet safer. Read more here: http://ow.ly/Iy6K50KbCYo

OPPORTUNITY OVERVIEW
At ZeroFox, we are passionate about bringing world-class protection to the digital-first world. Together, we have built a system capable of collecting and analyzing data from all over the internet, creating a paradigm-shifting cybersecurity product, that helps secure and protect our customers and improves the global threat landscape.

We are a team of software engineers, cybersecurity experts, data scientists, and testers who continue to develop unparalleled solutions to the cyber security industry by providing the best Digital Risk Protection SaaS in the global market. Our company, services, and user base are growing faster than ever and we’d like you to join our ever-growing team to expand our products and help us innovate. We believe the greatest solutions in the Digital Risk Protection space come from composing teams with varying backgrounds and experiences that can use their complementary skill sets to come up with the best market-defining solutions. Along the way, you’ll expand your potential with constant opportunities to learn and grow alongside exceptionally knowledgeable, competent, and collaborative people.",,,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.0,71 %,77 %,3.2,3.8,3.7,3.9,3.8,3.9,,,61,https://www.glassdoor.com/Reviews/ZeroFOX-Reviews-E779978.htm,https://www.glassdoor.com/Benefits/ZeroFOX-Benefits-E779978.htm
